firstDate,lastDate,RDC-ChambreEnfants_CO2_GAS_CONCENTRATIONppm<>Avg,RDC-ChambreParents_CO2_GAS_CONCENTRATIONppm<>Avg,RDC-Séjour_CO2_GAS_CONCENTRATIONppm<>Avg,RDC-ChambreEnfants_Humidité_HUMIDITY%<>Avg,RDC-ChambreParents_Humidité_HUMIDITY%<>Avg,RDC-Séjour_Humidité_HUMIDITY%<>Avg,Technique-Meteo_Humidité_absolue_Abs_humidityg/m3<>Avg,Technique-Meteo_Humidité_relative_Rel_humidity%<>Avg,RDC-ChambreEnfants_Température_TEMPERATURE°C<>Avg,RDC-ChambreParents_Température_TEMPERATURE°C<>Avg,RDC-Séjour_Température_TEMPERATURE°C<>Avg,prev_day_worked,day_worked,next_day_worked
2017-04-28 21:40:00,2017-04-28 21:40:00,2550.0,1670.0,520.0,39.0,34.0,33.0,4.74,83.4,21.4,19.2,23.0,0,0,1
2017-04-28 21:41:00,2017-04-28 21:41:00,2550.0,1670.0,530.0,39.0,34.0,33.0,4.74,83.3,21.6,19.2,23.0,0,0,1
2017-04-28 21:42:00,2017-04-28 21:42:00,2550.0,1690.0,530.0,39.0,34.0,33.0,4.75,82.1,21.6,19.2,23.0,0,0,1
2017-04-28 21:43:00,2017-04-28 21:43:00,2550.0,1690.0,530.0,39.0,34.0,33.0,4.79,83.7,21.4,19.2,23.0,0,0,1
2017-04-28 21:44:00,2017-04-28 21:44:00,2550.0,1710.0,530.0,39.0,34.0,33.0,4.73,82.1,21.4,19.2,23.0,0,0,1
2017-04-28 21:45:00,2017-04-28 21:45:00,2550.0,1710.0,530.0,39.0,34.0,33.0,4.7,81.1,21.6,19.4,23.0,0,0,1
2017-04-28 21:46:00,2017-04-28 21:46:00,2550.0,1730.0,530.0,39.0,34.0,33.0,4.64,80.6,21.6,19.4,22.8,0,0,1
2017-04-28 21:47:00,2017-04-28 21:47:00,2550.0,1740.0,530.0,39.0,34.0,33.0,4.63,78.9,21.6,19.4,22.8,0,0,1
2017-04-28 21:48:00,2017-04-28 21:48:00,2550.0,1760.0,530.0,39.0,34.0,33.0,4.71,82.9,21.6,19.2,22.8,0,0,1
2017-04-28 21:49:00,2017-04-28 21:49:00,2550.0,1760.0,530.0,39.0,34.0,33.0,4.74,82.8,21.6,19.2,22.8,0,0,1
2017-04-28 21:50:00,2017-04-28 21:50:00,2550.0,1770.0,530.0,39.0,34.0,33.0,4.7,82.7,21.6,19.2,22.8,0,0,1
2017-04-28 21:51:00,2017-04-28 21:51:00,2550.0,1770.0,530.0,39.0,34.0,33.0,4.74,83.4,21.8,19.2,22.8,0,0,1
2017-04-28 21:52:00,2017-04-28 21:52:00,2550.0,1740.0,530.0,39.0,34.0,33.0,4.8,85.4,21.6,19.4,22.6,0,0,1
2017-04-28 21:53:00,2017-04-28 21:53:00,2550.0,1800.0,530.0,39.0,34.0,33.0,4.78,85.0,21.6,19.2,22.8,0,0,1
2017-04-28 21:54:00,2017-04-28 21:54:00,2550.0,1800.0,530.0,39.0,34.0,33.0,4.74,84.3,21.6,19.2,22.6,0,0,1
2017-04-28 21:55:00,2017-04-28 21:55:00,2550.0,1820.0,530.0,39.0,34.0,33.0,4.73,84.1,21.8,19.2,22.6,0,0,1
2017-04-28 21:56:00,2017-04-28 21:56:00,2550.0,1820.0,530.0,39.0,34.0,33.0,4.7,83.6,21.4,19.2,22.6,0,0,1
2017-04-28 21:57:00,2017-04-28 21:57:00,2550.0,1820.0,530.0,39.0,34.0,33.0,4.68,83.3,21.6,19.2,22.6,0,0,1
2017-04-28 21:58:00,2017-04-28 21:58:00,2550.0,1850.0,530.0,39.0,34.0,33.0,4.72,83.9,21.8,19.2,22.6,0,0,1
2017-04-28 21:59:00,2017-04-28 21:59:00,2550.0,1870.0,530.0,39.0,34.0,33.0,4.69,84.0,21.6,19.0,22.6,0,0,1
2017-04-28 22:00:00,2017-04-28 22:00:00,2550.0,1870.0,530.0,39.0,34.0,33.0,4.7,84.1,21.6,19.0,22.6,0,0,1
2017-04-28 22:01:00,2017-04-28 22:01:00,2550.0,1870.0,530.0,39.0,34.0,33.0,4.7,85.2,21.6,19.0,22.6,0,0,1
2017-04-28 22:02:00,2017-04-28 22:02:00,2550.0,1870.0,530.0,39.0,34.0,33.0,4.76,85.3,21.6,19.2,22.6,0,0,1
2017-04-28 22:03:00,2017-04-28 22:03:00,2550.0,1890.0,530.0,39.0,34.0,33.0,4.7,84.1,21.6,19.0,22.6,0,0,1
2017-04-28 22:04:00,2017-04-28 22:04:00,2550.0,1930.0,530.0,39.0,34.0,33.0,4.7,83.6,21.8,19.0,22.6,0,0,1
2017-04-28 22:05:00,2017-04-28 22:05:00,2550.0,1930.0,N/A,39.0,34.0,N/A,4.59,81.7,21.4,19.0,N/A,0,0,1
2017-04-28 22:06:00,2017-04-28 22:06:00,2550.0,1930.0,530.0,39.0,34.0,33.0,4.7,84.2,21.6,19.0,22.6,0,0,1
2017-04-28 22:07:00,2017-04-28 22:07:00,2550.0,1930.0,530.0,39.0,34.0,33.0,4.7,84.1,21.8,19.0,22.6,0,0,1
2017-04-28 22:08:00,2017-04-28 22:08:00,2550.0,1930.0,530.0,39.0,34.0,33.0,4.72,85.0,21.6,19.2,22.6,0,0,1
2017-04-28 22:09:00,2017-04-28 22:09:00,2550.0,1910.0,540.0,39.0,34.0,33.0,4.7,83.0,21.8,19.2,22.6,0,0,1
2017-04-28 22:10:00,2017-04-28 22:10:00,2550.0,1910.0,540.0,39.0,34.0,33.0,4.7,84.1,21.8,19.2,22.6,0,0,1
2017-04-28 22:11:00,2017-04-28 22:11:00,2550.0,1930.0,530.0,39.0,34.0,33.0,4.7,83.7,21.8,19.2,22.6,0,0,1
